,name,lon,lat,capacity
0,Tonningneset,5.344655017198988,60.379576056996115,19
1,Camilla Collets gate,5.346568012885058,60.37214138801542,25
2,Kronstad,5.352659970408496,60.3720506380196,25
3,Takhagen på Nordnes,5.306518354873901,60.39901738197227,19
4,Kirkegaten,5.325658910381037,60.40568787342849,16
5,Kong Oscars gate,5.330654155344547,60.393323250707,26
6,Haukelandshallen,5.353846489647282,60.370493777025985,19
7,Neumanns gate II,5.320656172070585,60.39097915423838,19
8,Rosenbergsgaten,5.321882967938819,60.38904687509401,19
9,Christian Michelsens institutt,5.314041873201262,60.38971028611195,16
10,Nordnes Sjøbad,5.302344558881117,60.3992308109043,19
11,Bergen Jernbanestasjon II,5.333027169585989,60.39066508674793,13
12,Puddefjordsbroen,5.319121316996245,60.38582501320374,19
13,Hansaparken,5.349253890141261,60.38604412210008,19
14,Møllendalsbrua,5.351004300456282,60.37919499040186,19
15,Øvre Korskirkeallmenning,5.328645087376344,60.395099485721786,22
16,Welhavens gate 64,5.324440726278226,60.38445114789948,19
17,Ole Vigs gate,5.321431717819451,60.385922875207626,19
18,Fløttmannsplassen,5.324389909505271,60.37982631389452,22
19,Autogården,5.331198981947182,60.38459013238918,19
20,Comfort Hotel Bergen,5.315384703788823,60.396224461626154,19
21,Thormøhlens gate,5.324053067317891,60.38316244112318,26
22,Vågsallmenningen,5.3265806966930995,60.393689548634,16
23,Nedre Korskirkeallmenning,5.327049981572372,60.394549852530844,25
24,Østre Murallmenningen nedre,5.320002322335455,60.395143864343254,19
25,Gågaten,5.31879835082907,60.395070112977045,10
26,Nykirken,5.313494727727743,60.396949224333255,16
27,Hans Hauges gate,5.324747767839426,60.40190553013225,13
28,Amalie Skrams vei Nord,5.324662770153282,60.410929182460585,13
29,Amalie Skrams vei Sør,5.325510899047174,60.408096993005785,25
30,Skutevikstorget,5.320744723528605,60.40222876911276,16
31,Dreggsallmenningen Nord,5.3221425864564935,60.398656493732524,16
32,Dreggsallmenningen Sør,5.32200057798218,60.39770902893835,34
33,Kode 2,5.324792207669702,60.390174061139966,19
34,Kode 1,5.324397430398562,60.3906427466302,16
35,Håkonsgaten,5.318026298282803,60.39118461048114,19
36,Magnus Lagabøtes Plass,5.314854189834826,60.38972226200196,10
37,HF-Bygget,5.318712852428234,60.387853713374845,19
38,H.M. Pinnsvinet,5.320712071347316,60.38808210546723,16
39,John Lunds plass,5.324558211682643,60.38824732496974,19
40,Strømgaten,5.326041074182427,60.38658238047282,10
41,Fosswinckels gate,5.327978744635743,60.38658166593217,10
42,St. Jakobs Plass,5.331124765335517,60.386620366718034,22
43,Zander Kaas gate,5.3353874337574325,60.390108717939874,10
44,Busstasjonen 2 Vest,5.332872680372475,60.388283833541436,10
45,Busstasjonen 4 Sør,5.335633911730724,60.387058789354164,13
46,Busstasjonen 3  Øst,5.334459219764085,60.38785633733042,13
47,Busstasjonen 1 Nord,5.333817119783134,60.38890977889046,24
48,Danmarksplass,5.339851409058042,60.376082994809856,31
49,Bjørnsonsgate,5.342082137178068,60.373985939857135,19
50,Odontologen,5.359896670658031,60.379698323738396,31
51,Solheimsgaten COOP Extra,5.338395498728005,60.375289459038605,19
52,Bøhmergaten,5.334276104612741,60.376252795872844,16
53,Krohnviken,5.3310207695192275,60.37810721367397,19
54,Damsgårdsveien,5.3194353641521275,60.381511501995426,16
55,Frydenbø Marina,5.310007717995973,60.384467341026586,19
56,Damsgårdsallmenningen,5.299130112557805,60.386709149786796,10
57,Festplassen,5.325713785893413,60.391123958982405,26
58,Haraldsplass,5.361202283994771,60.37911124360612,12
59,Lars Hilles,5.331487235597251,60.388117889090395,16
60,Østre Murallmenningen øvre,5.318713236118583,60.39397677863768,19
61,Rådhuset,5.327256637816724,60.39187286486824,19
62,Sandviken Brygge,5.320870309021842,60.41294568274233,19
63,Sandvikstorget,5.322648583141813,60.408582102784685,19
64,Møllendalsplass,5.3519936304809335,60.379685765470725,16
65,Jonsvollkvartalet,5.317308285189142,60.39267683527631,19
66,Nykirkekaien,5.314548482139799,60.39705738914522,10
67,Johanneskirken,5.318665231464365,60.38853002489311,25
68,Nonneseterplass,5.3336050852019525,60.38967202352878,37
69,Nygårdsporten,5.333450454511649,60.3839343833222,28
70,Klosteret,5.314946630388022,60.395137943082446,10
71,Høyteknologisenteret,5.3323324699108525,60.382254745562825,59
72,Allehelgens plass,5.328976911981613,60.39265146337743,26
73,Småstrandgaten,5.327022724925882,60.39309812241306,25
74,Torget,5.325283812313046,60.39587808663882,25
75,Sandviksbodene,5.323373526334763,60.40569501689435,10
76,C. Sundts gate,5.308762204430565,60.39947506336557,25
77,Årstad kirke,5.351298808527645,60.37517596107242,16
78,Laksevåg senter,5.286516470683409,60.38963215691683,19
79,Brann Stadion,5.3551910634374735,60.367425453190464,79
80,Laksevåg v/Kirkebukten,5.3001083072740585,60.386068777690944,25
81,Bergen jernbanestasjon,5.3326504538233905,60.390414110522414,16
82,Torgallmenningen,5.323669092809325,60.39291769029913,24
83,Den Nationale Scene,5.320185176096857,60.39245536165015,10
84,Studentboligene,5.350897458652753,60.37831673774707,31
85,Gulating,5.32661819461282,60.391983600413376,13
86,ADO arena,5.337431780062616,60.38543124330305,19
87,Nøstetorget,5.314881116119068,60.39222475946063,36
88,Skur 11,5.324169337618514,60.396384231131684,30
89,Haukeland sykehus,5.35659456239955,60.373637920628255,19
90,Studentsenteret UIB,5.322980046239536,60.38719801795013,30
91,Grieghallen,5.3285641370894155,60.38819667374428,16
92,Cornerteateret,5.325332343545597,60.382595986001995,25
93,Neumannsgate,5.319194867192266,60.39138580667719,31
94,Lysverket,5.329622268545791,60.389542524377724,33
95,Akvariet,5.304686307890734,60.39987652272946,18
96,Solheimsviken,5.335538507194286,60.377068234898445,25
97,Verftet,5.307755827707297,60.395877002094046,19
98,Tårnplass,5.3217920958013565,60.39375532002469,25
